id_usuario,id_sesion,nombre_evento,timestamp_evento,pais,dispositivo,fuente_referencia,categoria_producto
user_6772,6a97f2af-32ae-4186-8c92-04025be1a27b,first_visit,2025-05-17,Colombia,desktop,organic,Moda
user_5883,369b767c-1c33-4b2f-a652-c7c0ef92cfc9,add_to_cart,2025-02-23,Mexico,mobile,social,Hogar
user_5946,60039041-e78b-474c-87b3-c0b7e9c30708,add_payment_info,2025-05-15,Colombia,desktop,social,Electronica
user_827,18252a64-f389-4ef7-9e58-dadad4a3491e,purchase,2025-03-31,Mexico,mobile,social,Moda
user_2361,221b364e-cdc5-4668-b698-18d5ba849a67,first_visit,2025-01-22,Argentina,desktop,paid_search,Electronica
user_4402,0892643c-f80d-4eb4-9ca8-3638b16c6ed4,begin_checkout,2025-04-21,Argentina,desktop,paid_search,Hogar
user_767,0005a13c-3c1f-496b-a26a-f3c282f19e13,begin_checkout,2025-03-01,Mexico,mobile,social,Electronica
user_2694,b07336e6-1207-4ee1-82e3-1fa7fbd194e3,add_payment_info,2025-03-22,Colombia,desktop,organic,Hogar
user_7209,f42bd8cd-aff2-4b7e-94e2-d4d885d23afc,add_to_cart,2025-05-07,Mexico,desktop,organic,Moda
user_1788,abf1af77-e96b-4490-9efb-3fa5d8271ad4,add_to_cart,2025-05-13,Argentina,desktop,organic,Moda
user_6701,03bfce68-91f1-4c92-95a9-43d156e03837,purchase,2025-01-19,Mexico,mobile,organic,Hogar
user_6033,f1449601-0474-45d6-b769-42075ba3a6b5,select_item,2025-01-31,Colombia,mobile,organic,Electronica
user_4897,ff68a5b2-c010-4e10-b065-853f68e7e3ce,first_visit,2025-04-16,Argentina,desktop,social,Moda
user_6121,42cae1bc-adcb-4750-96aa-1df1974e3972,first_visit,2025-03-14,Argentina,mobile,organic,Electronica
user_648,dc58d8e7-8318-4811-af7b-8f6821878f02,add_to_cart,2025-03-13,Argentina,desktop,organic,Moda
user_5522,be9e980e-e4dd-4399-8a03-616ab5831c43,purchase,2025-04-22,Colombia,mobile,organic,Moda
user_4391,f18757c4-292b-4c34-8379-4cb5a36d3241,add_payment_info,2025-04-16,Colombia,mobile,social,Electronica
user_5462,d90bdb22-92a1-4c43-9c89-44b37bd57281,first_visit,2025-05-09,Colombia,desktop,social,Hogar
user_4601,cb25da32-2f03-4571-94f4-926b1ec75941,first_visit,2025-03-12,Mexico,mobile,paid_search,Electronica
user_677,e65c4032-eac5-412c-9e18-2fc70aad7edc,add_to_cart,2025-05-03,Mexico,desktop,social,Moda
user_4135,501e040b-f153-487a-bad8-8fb6a2a7dc3c,first_visit,2025-01-28,Colombia,mobile,organic,Moda
user_567,9a7d9073-8b20-47d2-a31f-582f4922a29f,select_item,2025-02-18,Argentina,mobile,organic,Electronica
user_4951,141de84f-1e2c-473f-8eb6-c04ff60967f5,add_to_cart,2025-02-13,Argentina,desktop,paid_search,Moda
user_6788,7fd52a15-31ec-4f0e-9523-7f5089c99718,first_visit,2025-06-25,Mexico,desktop,organic,Electronica
user_2342,48a64c27-a6e0-4204-86f0-5d94efd55d09,first_visit,2025-06-08,Colombia,mobile,paid_search,Moda
user_163,c5d177b1-dc94-4149-8f4e-9d1d3e905770,first_visit,2025-01-16,Mexico,mobile,paid_search,Electronica
user_7091,ad2127af-1099-4522-9cfa-3211f4257f51,begin_checkout,2025-01-26,Mexico,desktop,organic,Hogar
user_3144,704e268c-ae56-451e-a797-7a41829d18b0,select_item,2025-01-16,Mexico,desktop,social,Moda
user_1156,a2336b1c-f85f-4933-b882-588bb1f5c1e8,select_item,2025-02-15,Mexico,desktop,social,Electronica
user_5623,373fc879-4701-41fd-90fd-e260c1dfbae2,first_visit,2025-06-04,Mexico,desktop,paid_search,Moda
user_4614,f491486b-dd26-4af3-9d3e-310238ab6da6,select_item,2025-06-16,Colombia,desktop,paid_search,Hogar
user_3934,8fd08649-46d9-485a-b708-c5cdda4d9098,first_visit,2025-01-26,Mexico,desktop,social,Electronica
user_7634,3dc13ed1-3db8-4764-ad12-3e59bbc2810f,add_to_cart,2025-03-28,Argentina,desktop,organic,Hogar
user_3373,554297f6-2c89-44d1-88b6-b59bd066d378,first_visit,2025-05-14,Colombia,desktop,organic,Hogar
